title,SKU,final_price,old_price,url
"OPPO A16e (White, 3GB, 32GB)",6932169309080,"₹8,999.00","₹13,990.00",https://www.poojaratele.com/brand/oppo/oppo-a16e-white-3gb-32gb.html
"OPPO A57 (Glowing Green, 4GB, 64GB)",6932169313636,"₹16,990.00",,https://www.poojaratele.com/brand/oppo/oppo-a57-glowing-green-4gb-64gb.html
"OPPO F21s Pro 5G (Starlight Black, 8GB, 128GB)",6932169315609,"₹31,999.00","₹31,999.00",https://www.poojaratele.com/brand/oppo/oppo-f21s-pro-5g-starlight-black-8gb-128gb.html
OPPO Enco M32 Bluetooth Wireless Neckband (Black),6944284698062_BLACK,"₹1,799.00","₹2,999.00",https://www.poojaratele.com/brand/oppo/oppo-enco-m32-bluetooth-wireless-neckband-black.html
"OPPO A16e (Midnight Black, 3GB, 32GB)",6932169308977,"₹8,999.00","₹13,990.00",https://www.poojaratele.com/brand/oppo/oppo-a16e-midnight-black-3gb-32gb.html
"OPPO A16e (Midnight Black, 4GB, 64GB)",6932169308991,"₹15,990.00","₹13,990.00",https://www.poojaratele.com/brand/oppo/oppo-a16e-midnight-black-4gb-64gb.html
"OPPO F21 Pro 5G (Cosmic Black, 8GB, 128GB)",6932169303460,"₹31,999.00","₹27,999.00",https://www.poojaratele.com/brand/oppo/oppo-f21-pro-5g-cosmic-black-8gb-128gb.html
"OPPO A77 (Sky Blue, 4GB, 128GB)",6932169318679,"₹16,499.00",,https://www.poojaratele.com/brand/oppo/oppo-a77-sky-blue-4gb-128gb.html
"OPPO Reno8 5G (Shimmer Gold, 8GB, 128GB)",6932169315371,"₹38,999.00",,https://www.poojaratele.com/brand/oppo/oppo-reno8-5g-shimmer-gold-8gb-128gb.html
"OPPO A57 (Glowing Black, 4GB, 64GB)",6932169313377,"₹16,990.00",,https://www.poojaratele.com/brand/oppo/oppo-a57-glowing-black-4gb-64gb.html
"Oppo Reno7 5G (Startrails Blue, 8GB, 256GB)",6932169303613,"₹37,990.00",,https://www.poojaratele.com/brand/oppo/oppo-reno7-5g-startrails-blue-8gb-256gb.html
OPPO ENCO W51 True Wireless Earphone (Starry Blue),6944284665118,"₹4,990.00","₹6,999.00",https://www.poojaratele.com/brand/oppo/oppo-enco-w51-true-wireless-earphone-starry-blue.html
"Oppo Reno7 Pro 5G (Startrails Blue, 12GB, 256GB)",6932169303422,"₹47,990.00",,https://www.poojaratele.com/brand/oppo/oppo-reno7-pro-5g-startrails-blue-12gb-256gb.html
"OPPO F21 Pro 5G (Rainbow Spectrum, 8GB, 128GB)",6932169306607,"₹31,999.00","₹27,999.00",https://www.poojaratele.com/brand/oppo/oppo-f21-pro-5g-rainbow-spectrum-8gb-128gb.html
"OPPO Reno8 5G (Shimmer Black, 8GB, 128GB)",6932169315258,"₹38,999.00",,https://www.poojaratele.com/brand/oppo/oppo-reno8-5g-shimmer-black-8gb-128gb.html
"OPPO F21 Pro (Cosmic Black, 8GB, 128GB)",6932169307291,"₹21,999.00","₹27,999.00",https://www.poojaratele.com/brand/oppo/oppo-f21-pro-cosmic-black-8gb-128gb.html
"OPPO A57 (Glowing Gold, 4GB, 64GB)",6932169318310,"₹13,999.00","₹16,990.00",https://www.poojaratele.com/brand/oppo/oppo-a57-glowing-gold-4gb-64gb.html
